ＮＯ,受注,ベース,材質,種別１,種別２,ＪＡＮ,表示,デザイン,すみ分け,付加,付加,産地,銘柄,ＫＧ,画像,詳細
65,1222582,565,小袋大,【食味王】,魚のゆりかご水田,―,表示,デザイン,スポット中心,特栽米,―,滋賀県,コシヒカリ,2,https://www.dropbox.com/scl/fi/escrpbhvjh1dpfj3h11us/1222582A.jpg?rlkey=ipa15lphdwa0jy0z7h3lkkm1q&st=mlli0x5j&dl=0,
66,1209419,565,小袋大,【食味王】,魚のゆりかご水田,―,表示,デザイン,スポット中心,特栽米,―,滋賀県,コシヒカリ,5,https://www.dropbox.com/scl/fi/4zh1rvledx2kfx7adgqk9/1209419A.jpg?rlkey=snrzg8zb4ewhqwi30guu04ihs&st=xohj57b6&dl=0,
67,1197414,594,小袋中,【食味王】,魚のゆりかご水田,―,―,ガイドライン,スポット中心,特栽米,―,滋賀県,コシヒカリ,―,https://www.dropbox.com/scl/fi/4pktun4t13f9fex208klm/1197414A.jpg?rlkey=f6ulrtrs5sffexoyfuqqo452k&st=bwlgsczh&dl=0,
68,1037939,594,小袋中,【食味王】,―,―,表示,デザイン,スポット中心,―,―,滋賀県,みずかがみ,1,https://www.dropbox.com/scl/fi/b112i2b3c8foaumskrkfc/1037939A.jpg?rlkey=sdnh894zwx1clw68scwdvu709&st=k5ep6y40&dl=0,
69,1217751,594,小袋中,【食味王】,―,―,表示,デザイン,スポット中心,―,脱酸素剤,滋賀県,みずかがみ,1,https://www.dropbox.com/scl/fi/l5yzxpl8faq0yjowa14z5/1217751A.jpg?rlkey=e3ymgg6i86yc9yby4ny06e0vm&st=j40afg7y&dl=0,
70,1034550,565,小袋大,【食味王】,―,ＪＡＮ,表示,デザイン,終了,―,―,滋賀県,みずかがみ,2,https://www.dropbox.com/scl/fi/5q97nskksftlkc5v2e37u/1034550A.jpg?rlkey=3atxuul2yu0ryg011gco1aae6&st=2pg37okn&dl=0,
71,1089948,565,小袋大,【食味王】,―,―,表示,デザイン,スポット中心,―,―,滋賀県,みずかがみ,2,https://www.dropbox.com/scl/fi/mplubhh1i6bqd0ygiavam/1089948A.jpg?rlkey=yj389pz942sjxn4a7tcx72t8n&st=s2bv0tqb&dl=0,
72,1035733,594,小袋中,【食味王】,―,―,表示,デザイン,定番化,―,―,島根県仁多郡,コシヒカリ,1,https://www.dropbox.com/scl/fi/t4en112u3oa7gp65hceax/1035733A.jpg?rlkey=r7o20xy36i7d4uq5eov5ohr8f&st=k6rnghsi&dl=0,
73,1028133,565,小袋大,【食味王】,―,ＪＡＮ,表示,デザイン,終了,―,―,島根県仁多郡,コシヒカリ,2,https://www.dropbox.com/scl/fi/71zepyv00aeceahgm0s0r/1028133A.jpg?rlkey=hzaj34jha7m41adv42u3j5a4j&st=twp6l9dc&dl=0,
74,1088422,565,小袋大,【食味王】,―,―,表示,デザイン,定番化,―,―,島根県仁多郡,コシヒカリ,2,https://www.dropbox.com/scl/fi/eg7y35q76smm26y6cgsfb/1088422A.jpg?rlkey=3pjp7485wenjrqh0puygpva22&st=sntm8s1w&dl=0,
75,1183945,565,小袋大,【食味王】,―,―,表示,デザイン,定番化,―,脱酸素剤,島根県仁多郡,コシヒカリ,2,https://www.dropbox.com/scl/fi/kfhzyu8pjz3vfy291m44o/1183945A.jpg?rlkey=asn8xycyzywgqai98jxz0yj3e&st=qcdpe3hw&dl=0,
76,1130145,594,小袋中,【食味王】,―,ＪＡＮ,表示,デザイン,終了,―,―,富山県,コシヒカリ,1,https://www.dropbox.com/scl/fi/5f7fsgw5srnfppfhr0mvy/1130145A.jpg?rlkey=q3v4u2zcvnrhbd47x9u27nr4v&st=httntgd6&dl=0,
77,1037935,594,小袋中,【食味王】,―,―,表示,デザイン,終了,―,―,富山県,コシヒカリ,1,https://www.dropbox.com/scl/fi/wxt39mev88jdzkpewhkws/1037935A.jpg?rlkey=uytju2cia45id9n4mbek33ev5&st=o516sq3c&dl=0,
78,1028126,565,小袋大,【食味王】,―,ＪＡＮ,表示,デザイン,終了,―,―,富山県,コシヒカリ,2,https://www.dropbox.com/scl/fi/m4ttb8e7m9dld2cx4m6bv/1028126A.jpg?rlkey=9vivwe2yij6f5ij1vatbafb19&st=pof3fg5j&dl=0,
79,1087920,565,小袋大,【食味王】,―,―,表示,デザイン,終了,―,―,富山県,コシヒカリ,2,https://www.dropbox.com/scl/fi/xlrfok3ej0i1hlpazz49l/1087920A.jpg?rlkey=qei3w1z9r70yemxfqaot1pn7k&st=rgbyirjs&dl=0,
80,1137324,594,小袋中,【食味王】,―,ＪＡＮ,表示,デザイン,終了,―,―,奈良県,ヒノヒカリ,1,https://www.dropbox.com/scl/fi/3q9uw7rz0x4wigeucdpgf/1137324A.jpg?rlkey=qqjfno4nd9cpuq7udgv0snizp&st=5hnqrt0i&dl=0,
81,1037932,594,小袋中,【食味王】,―,―,表示,デザイン,スポット中心,―,―,奈良県,ヒノヒカリ,1,https://www.dropbox.com/scl/fi/i4wplkp6g5360nk1rt6ln/1037932A.jpg?rlkey=u9whccvk520zr1pfd1yq8qpll&st=3jle2sx0&dl=0,
82,1228239,565,小袋大,【食味王】,―,―,表示,デザイン,スポット中心,―,脱酸素剤,奈良県,ヒノヒカリ,1,https://www.dropbox.com/scl/fi/g0dab5l9uf6y6gdibpo5d/1228239A.jpg?rlkey=l49lz5wx2aiosxt2xgg5bfh10&st=xtj4n5st&dl=0,25年5月迄
83,1028129,565,小袋大,【食味王】,―,ＪＡＮ,表示,デザイン,終了,―,―,奈良県,ヒノヒカリ,2,https://www.dropbox.com/scl/fi/80zgg8by1et4bvsf8k84j/1028129A.jpg?rlkey=orf3il9uaz4n92b06bowdbhrv&st=l4faitf7&dl=0,25年5月迄
84,1100236,565,小袋大,【食味王】,―,―,表示,デザイン,スポット中心,―,―,奈良県,ヒノヒカリ,2,https://www.dropbox.com/scl/fi/x2sfb76yi19hlhmcgxvjp/1100236A.jpg?rlkey=p5570ujnzmtdq9kklebqsildv&st=els8n851&dl=0,
